canonical_smiles,pIC50,activite,tsne1,tsne2,pca1,pca2
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,7.79997073344623,actif,33.331207,43.55203,1.801212798516247,1.0242887916088421
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.367542707815276,actif,33.21846,43.370716,1.7299753233826787,1.10100845798667
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,6.719991046891814,actif,33.18169,43.40459,1.6777830034703891,1.0833719238328585
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.468521082957745,actif,6.83333,51.266514,1.66542616442362,1.089186795407664
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.522878745280336,actif,8.0540695,50.77117,1.6341155930762548,1.0207771691158358
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.769551078621726,actif,7.9133344,51.569336,1.752930772604916,1.2228246408930536
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.356547323513812,actif,8.310264,51.483265,1.7543124534050163,1.2774205304010906
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938200260161125,actif,32.754448,44.279263,1.8764883617574575,1.5450451622327057
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.602059991327962,actif,10.835244,49.47377,1.7591791145537328,1.5709078582543339
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.623423042943488,actif,10.266062,49.855236,1.713799412450499,1.5134308051877083
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,8.769551078621726,actif,14.840907,51.744587,1.7270914650647218,1.4964503884408025
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,5.943095148663527,intermediaire,10.305233,47.065834,1.8202263308185462,1.6145502479751024
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,7.008773924307505,actif,10.303662,47.066063,1.8072797463201407,1.6092765953368875
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,5.991399828238082,intermediaire,10.285224,47.05638,1.8172253884212493,1.6312269748175015
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,6.200659450546418,actif,10.372963,47.16234,1.760344571008085,1.6118691129419533
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.5376020021010435,actif,0.79502743,53.21029,0.9771279397544687,1.0099022811079779
Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,6.919012953089113,actif,0.27264807,51.57861,1.0588017915286871,0.9753934678376169
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.906578314837764,actif,1.0429015,53.31417,0.9707538991585611,0.7742566399037387
Brc1cccc(Nc2ncnc3ccccc23)c1,7.568636235841013,actif,8.163829,50.799786,1.374428574397759,1.0362092009327981
Brc1cccc(Nc2ncnc3cccnc23)c1,7.464262948269776,actif,1.3247302,54.20134,0.957132525154191,0.917089179830548
Brc1cccc(Nc2ncnc3ccncc23)c1,7.452964100259989,actif,6.495653,53.11604,1.2335536003796908,1.100589869494448
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,8.260032303240491,actif,34.11678,39.668457,0.8210356280797356,0.7619379275378031
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.720105019988361,actif,34.115448,39.666756,0.8011924251486464,0.7547882728276116
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,9.289967300934247,actif,3.6924534,36.445927,0.7425785327456825,0.7539141935690953
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,8.489991487059765,actif,34.103065,39.6538,0.7522625964140314,0.756748801113843
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,9.040005161671584,actif,3.152269,36.13249,0.5552452265561805,0.8055047160241706
Brc1cccc(Nc2ncnc3ccsc23)c1,7.958607314841775,actif,0.5114655,55.605236,1.1162098395657636,0.8164178058788334
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.462180904926726,actif,33.528664,43.571674,1.5872812745616403,1.3076449380118178
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.533799897553262,actif,33.534863,42.609066,0.9432481349447928,0.6443783703575003
